Word,SUBTLWF
Bohemians,0.06
Bonanzas,0.14
Boof,0.37
Bookbinder,0.06
Boulanger,0.10
Brahman,0.06
Breton,0.06
Breweries,0.14
Brickle,0.24
Buckeyes,0.06
Bullethead,0.10
Bund,0.06
Bushido,0.06
Caesarian,0.10
Calvados,0.10
Campgrounds,0.06
Caporal,0.06
Carnet,0.06
Carnie,0.06
Cate,0.06
Ceil,0.39
Champaign,0.10
Chancery,0.08
Chien,0.12
Chiv,0.18
Cid,0.08
Cinnabar,0.20
Clamshell,0.06
Cliffhangers,0.06
Clucks,0.12
Clucky,0.31
Coker,0.08
Cokey,0.06
Comptroller,0.06
Conger,0.10
Corr,0.06
Crees,0.12
Cropper,0.29
Crump,0.10
Cuisines,0.06
Cul,0.08
Cupids,0.08
Cutlasses,0.06
Dae,0.06
Davenports,0.06
Deans,0.06
Delves,0.06
Dengue,0.08
Derricks,0.08
Detaching,0.06
Detente,0.06
Dist,0.06
Dop,0.10
Dragoons,0.12
Droit,0.06
Dropkick,0.06
Durbar,0.06
Elegante,0.06
Endocrinology,0.08
Epidemiologist,0.06
Equities,0.06
Erotically,0.06
Esc,0.10
Etudes,0.08
Evangelists,0.06
Excitingly,0.06
Fajita,0.06
Fastback,0.08
Filch,0.14
Fletchers,0.06
Flossy,0.12
Flywheel,0.47
Foll,0.06
Forester,0.06
Freckling,0.20
Frig,0.08
Fumigating,0.06
Gannet,0.18
Gauleiter,0.06
Ghee,0.10
Giga,0.06
Gim,0.10
Gnu,0.80
Goodish,0.06
Gra,0.06
Grampa,0.22
Guaranty,0.06
Harasser,0.06
Hearses,0.06
Heatwave,0.10
Hermits,0.06
Hessian,0.20
Hieratic,0.06
Hilariously,0.06
Hinds,0.06
Hoarsely,0.06
Hobnobs,0.06
Hoghead,0.08
Hoho,0.08
Hoke,0.73
Hoppity,0.18
Hotcha,0.08
Huntsman,0.08
Ignitor,0.06
Incroyable,0.08
Indonesian,0.06
Initializing,0.08
Jasmin,0.43
Jeu,0.08
Jingly,0.06
Juxtaposing,0.06
Kapellmeister,0.12
Kasbah,0.06
Kellys,0.06
Kiel,0.06
Kroo,0.18
Kuru,0.22
Lamentations,0.06
Lamplighter,0.06
Lector,0.06
Lek,0.08
Leos,0.06
Limburger,0.06
Linesmen,0.06
Lippy,0.06
Lisle,0.16
Lobos,0.06
Longish,0.06
Lucent,0.10
Lupin,0.14
Magnific,0.08
Magus,0.12
Mapo,0.08
Maxes,0.06
Megs,0.08
Menders,0.06
Messer,0.61
Microcytic,0.06
Mila,0.08
Moff,0.10
Mousing,0.06
Mss,0.06
Mulligatawny,0.06
Multiphasic,0.06
Myrmidons,0.12
Nabbing,0.06
Nast,0.10
Neb,0.55
Nebulized,0.06
Necro,0.06
Nene,0.94
Neons,0.10
Neve,0.06
Ninhydrin,0.14
Nitch,0.22
Noblesse,0.06
Nouvelle,0.06
Nows,0.06
Nuncio,0.20
Occidentals,0.06
Paar,0.06
Padrone,0.18
Paladin,0.14
Parky,0.14
Pasha,0.53
Pathfinders,0.06
Peacekeeper,0.41
Peperoni,0.06
Pepsis,0.10
Perkin,0.08
Petro,0.06
Photoplay,0.08
Pica,0.08
Picayune,0.06
Piet,0.12
Pima,0.08
Pipkin,0.10
Pitman,0.08
Piu,0.06
Plebiscite,0.06
Polonaise,0.06
Pontiff,0.06
Pook,0.06
Poplin,0.06
Psychoanalyzes,0.06
Quant,0.06
Quartermasters,0.06
Rada,0.06
Rani,0.06
Rasping,0.06
Reaver,0.10
Reelect,0.14
Reeve,0.25
Refractions,0.06
Resequencing,0.06
Residencies,0.06
Retails,0.06
Retirees,0.06
Rive,0.06
Rotarian,0.06
Rumanian,0.14
Sab,0.06
Salade,0.08
Savanna,0.06
Scull,0.06
Sem,0.08
Shearer,0.14
Shou,0.14
Shrimpy,0.06
Shyer,0.08
Sibilance,0.10
Sideless,0.08
Signori,0.08
Slee,0.06
Slouches,0.06
Smartypants,0.06
Smiler,0.06
Soc,0.22
Sociables,0.06
Sone,0.47
Sophistry,0.06
Sov,0.06
Sparkler,0.06
Spiker,0.14
Stacker,0.06
Stamper,0.67
Starky,0.06
Stingrays,0.06
Stockman,0.06
Stoneman,0.29
Strick,0.14
Stymie,0.16
Subcommander,0.06
Sunt,0.06
Swallowtail,0.06
Sylvan,0.10
Syn,0.06
Tabor,0.20
Talmudic,0.06
Tana,0.06
Technetium,0.06
Teniente,0.06
Theyve,0.08
Thrasher,0.06
Thrums,0.10
Thunderclaps,0.14
Toastmaster,0.06
Tommyrot,0.06
Toreador,0.08
Tosspot,0.06
Toyland,0.06
Trine,0.08
Triplex,0.06
Tsars,0.06
Tst,0.06
Tuber,0.06
Tunny,0.22
Twirlers,0.08
Ulla,0.06
Unclassified,0.06
Undersecretaries,0.08
Unionists,0.06
Unluckily,0.08
Unphotographable,0.06
Untranslatable,0.06
Vancomycin,0.06
Viceroys,0.06
Vip,1.20
Visigoth,0.06
Wadi,0.06
Waggoner,0.20
Warthogs,0.06
Weatherly,0.24
Wedgwood,0.14
Weimaraner,0.08
Whosis,0.06
Wiki,1.31
Windjammer,0.29
Yd,0.22
Ys,0.06
aas,0.04
Abalones,0.12
abbess,0.04
absenting,0.04
acher,0.04
achingly,0.04
acquainting,0.04
adorning,0.04
agave,0.04
agura,0.04
Aircrew,0.06
Aku,0.10
allocution,0.04
allyou,0.04
almightiness,0.04
alternators,0.04
amnesiac,0.04
amorality,0.04
ampicillin,0.04
Anan,0.18
Andante,0.06
Angstrom,0.08
anisette,0.04
Anode,0.16
Antediluvian,0.08
antemortem,0.04
antidisestablishmentarianism,0.04
apatite,0.04
Appaloosas,0.06
appendices,0.04
apprenticing,0.04
apriority,0.04
aptitudes,0.04
Aquatics,0.06
arbitrate,0.04
arbour,0.04
archaism,0.04
archduchess,0.04
areally,0.04
arithmetical,0.04
arsine,0.04
asana,0.04
ascites,0.04
assayed,0.04
assizes,0.04
Astrakhan,0.06
astrogation,0.04
atheistic,0.04
attractors,0.04
audiology,0.04
augmentations,0.04
auguries,0.04
ausgespielt,0.04
autologous,0.04
avance,0.04
awee,0.04
backie,0.04
baldhead,0.04
ballade,0.04
ballista,0.04
ballo,0.04
Balsam,0.16
bankrolls,0.04
barnstormers,0.04
Barrios,0.12
bassoons,0.04
Batt,0.08
beltless,0.04
benefactory,0.04
Benthic,0.27
benzo,0.04
bier,0.04
bifurcated,0.04
bilged,0.04
Bilgewater,0.08
biophysical,0.04
Birches,0.08
Blag,0.18
Bleacher,0.06
blo,0.04
bloater,0.04
Bloop,0.12
blotched,0.04
blowfly,0.04
Blub,0.06
Bluebook,0.10
boddle,0.04
boisterously,0.04
Boma,0.08
Bombshells,0.27
bonder,0.04
boogied,0.04
bookers,0.04
bookmobile,0.04
Bootstrap,0.06
bossiest,0.04
botanically,0.04
bounteous,0.04
Bouton,0.10
brach,0.04
brakie,0.04
brandish,0.04
brassie,0.04
Brattle,0.08
braying,0.04
brazier,0.04
breakfasting,0.04
breakfront,0.04
briars,0.04
Brier,0.59
Brin,0.06
briquette,0.04
broadcloth,0.04
Brough,0.10
buckboards,0.04
bulbar,0.04
Bullfinch,0.06
bumblebees,0.04
Burgher,0.08
burkas,0.04
buro,0.04
bushings,0.04
bushwhacker,0.04
Bustles,0.06
Buttonhook,0.06
Cadaveric,0.08
caddies,0.04
caduceus,0.04
callipers,0.04
Callo,0.06
camelback,0.04
camerawork,0.04
canape,0.04
candida,0.04
candyfloss,0.04
Cantare,0.08
capitols,0.04
capitulating,0.04
Carina,0.22
carjackings,0.04
carnauba,0.04
cartage,0.04
Cartes,0.08
cartilaginous,0.04
cartwheeling,0.04
casal,0.04
cassone,0.04
catamite,0.04
caucuses,0.04
cesareans,0.04
Cetus,0.06
cham,0.04
chamberlains,0.04
chametz,0.04
Chancellery,0.14
chanticleer,0.04
chara,0.04
chessboards,0.04
chessman,0.04
chiefest,0.04
chiggers,0.04
Chil,0.06
chokers,0.04
choky,0.04
Chroma,0.06
chronograph,0.04
cit,0.04
civvy,0.04
clarinets,0.04
classifications,0.04
Clave,0.10
clays,0.04
cleavers,0.04
clobberer,0.04
cloy,0.04
coagulated,0.04
Cockup,0.06
coff,0.04
Collet,0.08
colliers,0.04
combating,0.04
cometary,0.04
commending,0.04
committeewoman,0.04
companeros,0.04
compartmentalizing,0.04
Concentrator,0.10
concha,0.04
conclave,0.04
coneys,0.04
Conformable,0.06
conjurers,0.04
consarned,0.04
contextualizing,0.04
contrariwise,0.04
convective,0.04
Coonhound,0.06
cooperage,0.04
Coquille,0.06
corroborative,0.04
cosmetically,0.04
couche,0.04
coulier,0.04
cowpuncher,0.04
crabbiness,0.04
craned,0.04
Cre,0.06
creat,0.04
crispness,0.04
Crl,0.06
croakers,0.04
crosspatch,0.04
Crost,0.12
croupiers,0.04
crumples,0.04
crustaceous,0.04
Cryobiology,0.06
crystallizing,0.04
cuckolded,0.04
currants,0.04
Daff,0.12
dama,0.04
dap,0.04
dappled,0.04
Darb,0.08
darwinistic,0.04
dastards,0.04
Daws,0.06
daymare,0.04
deadman,0.04
debunking,0.04
Decelerate,0.08
decorticate,0.04
deducing,0.04
deerstalker,0.04
defections,0.04
Delator,0.06
Delftware,0.06
delphinium,0.04
demagnetized,0.04
denizen,0.04
denominators,0.04
deplaning,0.04
depressives,0.04
depressurize,0.04
derecho,0.04
derrieres,0.04
Dervishes,0.06
designator,0.04
destitution,0.04
Destructor,0.10
Detriments,0.10
devi,0.04
devolves,0.04
dg,0.04
Dhow,0.06
dickies,0.04
Dictograph,0.06
didgeridoo,0.04
dietetic,0.04
Dimmy,0.22
dingly,0.04
dipsomania,0.04
dirts,0.04
disassociating,0.04
discourteously,0.04
discoverers,0.04
disinterment,0.04
dissonant,0.04
distillers,0.04
Diviner,0.08
docker,0.04
doles,0.04
Donkeyman,0.16
Doob,0.12
doppelgangers,0.04
dorkiest,0.04
doub,0.04
douses,0.04
downpours,0.04
doz,0.04
Dragline,0.10
drainpipes,0.04
Drek,0.06
drizzles,0.04
Druidic,0.06
dumpier,0.04
Durning,0.16
dustup,0.04
dynamometer,0.04
Eam,0.20
ecologist,0.04
ecoute,0.04
eggless,0.04
egotistic,0.04
Eightfold,0.06
Elementals,0.08
embezzlers,0.04
embraceable,0.04
Embroiders,0.12
emer,0.04
empennage,0.04
emptiest,0.04
encompassing,0.04
encrypting,0.04
enders,0.04
endows,0.04
enfant,0.04
Engelmann,0.08
enlarges,0.04
enshrine,0.04
entices,0.04
epicure,0.04
equilateral,0.04
equitation,0.04
estado,0.04
ester,0.04
ethernet,0.04
evaporation,0.04
everyway,0.04
exacerbation,0.04
excoriates,0.04
excremental,0.04
exhorting,0.04
expat,0.04
faller,0.04
farthings,0.04
fathometer,0.04
fecundity,0.04
federations,0.04
fends,0.04
fermium,0.04
Ferrier,0.10
ferrous,0.04
feudalism,0.04
fifes,0.04
fightings,0.04
filmland,0.04
Fingerling,0.35
firebugs,0.04
flatland,0.04
fledge,0.04
fleshpot,0.04
flopper,0.04
fluorescein,0.04
Flyaway,0.10
flyswatter,0.04
Fod,0.12
Fokker,0.14
Fontanelle,0.06
foppery,0.04
Foragers,0.08
forasmuch,0.04
forecasters,0.04
Fores,0.06
formalin,0.04
forthrightness,0.04
fortissimo,0.04
fortnightly,0.04
fow,0.04
foxtrots,0.04
fragmentary,0.04
freelanced,0.04
Freestone,0.39
freezy,0.04
fringing,0.04
frontways,0.04
Fullers,0.16
furtively,0.04
fusils,0.04
Fw,0.08
Gamba,0.12
Gamely,0.06
gamin,0.04
gauntlets,0.04
geb,0.04
genera,0.04
generically,0.04
geodetic,0.04
germinal,0.04
gerrymandering,0.04
Gestes,0.12
ghats,0.04
gibe,0.04
Gillie,0.06
ginks,0.04
gipsies,0.04
Gismo,0.24
Gitano,0.06
gladden,0.04
glares,0.04
glints,0.04
Glissando,0.10
Globus,0.10
gobblers,0.04
goby,0.04
goos,0.04
goosy,0.04
Gor,0.10
goup,0.04
grandly,0.04
Grannie,0.10
granulated,0.04
graphical,0.04
grappler,0.04
grazers,0.04
Greening,0.20
gregarious,0.04
Grindle,0.20
gropers,0.04
grotesquerie,0.04
groundhogs,0.04
Grubber,0.10
grumbled,0.04
grumps,0.04
guarantors,0.04
gudgeon,0.04
guidepost,0.04
gutsiest,0.04
hackney,0.04
haddie,0.04
Haft,0.06
hairpieces,0.04
hajj,0.04
Halbert,0.18
haltingly,0.04
Halts,0.06
hambone,0.04
Handmaid,0.10
handsomeness,0.04
hardhat,0.04
